dejavu-serif-fonts	2.37-29.fc44	noarch
deltarpm	3.6.5-8.fc44	x86_64
desktop-backgrounds-compat	44.0.0-2.fc44	noarch
desktop-backgrounds-kde	44.0.0-2.fc44	noarch
desktop-file-utils	0.28-5.fc44	x86_64
device-mapper	1.02.212-2.fc44	x86_64
device-mapper-event	1.02.212-2.fc44	x86_64
device-mapper-event-libs	1.02.212-2.fc44	x86_64
device-mapper-libs	1.02.212-2.fc44	x86_64
device-mapper-persistent-data	1.3.2-1.fc44	x86_64
dhcp-client	4.4.3-26.fc44	x86_64
dhcp-common	4.4.3-26.fc44	noarch
diffstat	1.68-7.fc44	x86_64
diffutils	3.12-5.fc44	x86_64
distribution-gpg-keys	1.119-1.fc44	noarch
djvulibre-libs	3.5.30-1.fc44	x86_64
dkms	3.4.1-1.fc44	noarch
dlm-lib	4.3.0-8.fc44	x86_64
dmidecode	3.6-9.fc44	x86_64
dnf-data	4.24.0-3.fc44	noarch
dnf-plugins-core	4.10.1-9.fc44	noarch
dnf5	5.4.2.1-1.fc44	x86_64
dnf5-plugins	5.4.2.1-1.fc44	x86_64
dns-root-data	2026260100-2.fc44	noarch
dnsmasq	2.92rel2-9.fc44	x86_64
docbook-dtds	1.0-91.fc44	noarch
docbook-style-xsl	1.79.2-27.fc44	noarch
docker-buildx-plugin	0.34.1-1.fc44	x86_64
docker-ce	29.5.3-1.fc44	x86_64
docker-ce-cli	29.5.3-1.fc44	x86_64
docker-ce-rootless-extras	29.5.3-1.fc44	x86_64
docker-compose-plugin	5.1.4-1.fc44	x86_64
dolphin	26.04.2-1.fc44	x86_64
dolphin-libs	26.04.2-1.fc44	x86_64
dolphin-plugins	26.04.2-1.fc44	x86_64
dos2unix	7.5.5-1.fc44	x86_64
dosfstools	4.2-18.fc44	x86_64
dotconf	1.4.1-7.fc44	x86_64
double-conversion	3.4.0-3.fc44	x86_64
doxygen	1.16.1-3.fc44	x86_64
dracut	108-7.fc44	x86_64
dracut-config-rescue	108-7.fc44	x86_64
dracut-live	108-7.fc44	x86_64
dracut-network	108-7.fc44	x86_64
dracut-squash	108-7.fc44	x86_64
duktape	2.7.0-11.fc44	i686
duktape	2.7.0-11.fc44	x86_64
dunst	1.13.2-1.fc44	x86_64
dwz	0.16-3.fc44	x86_64
dyninst	13.0.0-9.fc44	x86_64
e2fsprogs	1.47.3-4.fc44	x86_64
e2fsprogs-libs	1.47.3-4.fc44	x86_64
ebook-tools-libs	0.2.2-31.fc44	x86_64
ed	1.22.5-2.fc44	x86_64
editorconfig-libs	0.12.11-1.fc44	x86_64
efi-filesystem	6-6.fc44	noarch
efi-srpm-macros	6-6.fc44	noarch
efibootmgr	18-11.fc44	x86_64
efivar-libs	39-12.fc44	x86_64
egl-gbm	1.1.3-2.fc44	i686
egl-gbm	1.1.3-2.fc44	x86_64
egl-utils	9.0.0-11.fc44	x86_64
egl-wayland	1.1.21-2.fc44	i686
egl-wayland	1.1.21-2.fc44	x86_64
egl-wayland2	1.0.1-1.fc44	i686
egl-wayland2	1.0.1-1.fc44	x86_64
egl-x11	1.0.5-1.fc44	i686
egl-x11	1.0.5-1.fc44	x86_64
elfutils	0.195-1.fc44	x86_64
elfutils-debuginfod-client	0.195-1.fc44	i686
elfutils-debuginfod-client	0.195-1.fc44	x86_64
elfutils-debuginfod-client-devel	0.195-1.fc44	x86_64
elfutils-default-yama-scope	0.195-1.fc44	noarch
elfutils-devel	0.195-1.fc44	x86_64
elfutils-libelf	0.195-1.fc44	i686
elfutils-libelf	0.195-1.fc44	x86_64
elfutils-libelf-devel	0.195-1.fc44	x86_64
elfutils-libs	0.195-1.fc44	i686
elfutils-libs	0.195-1.fc44	x86_64
emacs-filesystem	30.2-2.fc44	x86_64
enchant2	2.8.16-1.fc44	x86_64
erlang-srpm-macros	0.3.11-1.fc44	noarch
espeak-ng	1.52.0-3.fc44	x86_64
ethtool	7.0-1.fc44	x86_64
evtest	1.36-2.fc44	x86_64
exempi	2.6.4-9.fc44	x86_64
exfatprogs	1.4.1-1.fc44	x86_64
exiv2	0.28.6-3.fc44	x86_64
exiv2-libs	0.28.6-3.fc44	x86_64
expat	2.8.1-1.fc44	i686
expat	2.8.1-1.fc44	x86_64
f2fs-tools	1.16.0-10.fc44	x86_64
f43-backgrounds-base	43.0.4-1.fc44	noarch
f43-backgrounds-kde	43.0.4-1.fc44	noarch
f44-backgrounds-base	44.0.0-1.fc44	noarch
f44-backgrounds-kde	44.0.0-1.fc44	noarch
faad2-libs	2.11.2-6.fc44	x86_64
fakeroot	1.37.1-4.fc44	x86_64
fakeroot-libs	1.37.1-4.fc44	x86_64
fastfetch	2.63.1-1.fc44	x86_64
fatresize	1.1.0-20.20221116gitab78c48.fc44	x86_64
fd-find	10.4.2-1.fc44	x86_64
fdk-aac-free	2.0.3-2.fc44	i686
fdk-aac-free	2.0.3-2.fc44	x86_64
fedora-appstream-metadata	20260515-1.fc44	noarch
fedora-bookmarks	28-36.fc44	noarch
fedora-flathub-remote	1-12.fc44	noarch
fedora-gpg-keys	44-1	noarch
fedora-logos	42.0.1-3.fc44	noarch
fedora-logos-httpd	42.0.1-3.fc44	noarch
fedora-release-common	44-18	noarch
fedora-release-identity-kde-desktop	44-18	noarch
fedora-release-kde-desktop	44-18	noarch
fedora-repos	44-1	noarch
fedora-third-party	0.10-16.fc44	noarch
fedora-workstation-repositories	38-9.fc44	x86_64
ffmpeg	8.1.1-1.fc44	x86_64
ffmpeg-libs	8.1.1-1.fc44	x86_64
ffmpegthumbs	26.04.2-1.fc44	x86_64
fftw-libs-double	3.3.10-17.fc44	x86_64
fftw-libs-single	3.3.10-17.fc44	i686
fftw-libs-single	3.3.10-17.fc44	x86_64
file	5.46-10.fc44	x86_64
file-libs	5.46-10.fc44	x86_64
filelight	26.04.2-1.fc44	x86_64
filesystem	3.18-52.fc44	x86_64
filesystem-srpm-macros	3.18-52.fc44	noarch
findutils	4.10.0-7.fc44	x86_64
firewall-config	2.4.0-2.fc44	noarch
firewalld	2.4.0-2.fc44	noarch
firewalld-filesystem	2.4.0-2.fc44	noarch
flac-libs	1.5.0-8.fc44	i686
flac-libs	1.5.0-8.fc44	x86_64
flashrom	1.6.0-3.fc44	x86_64
flatpak	1.17.7-1.fc44	x86_64
flatpak-kcm	6.6.5-1.fc44	x86_64
flatpak-libs	1.17.7-1.fc44	x86_64
flatpak-selinux	1.17.7-1.fc44	noarch
flatpak-session-helper	1.17.7-1.fc44	x86_64
flex	2.6.4-24.fc44	x86_64
flexiblas	3.5.0-2.fc44	x86_64
flexiblas-netlib	3.5.0-2.fc44	x86_64
flexiblas-netlib64	3.5.0-2.fc44	x86_64
flexiblas-openblas-openmp	3.5.0-2.fc44	x86_64
flexiblas-openblas-openmp64	3.5.0-2.fc44	x86_64
flexiblas-openblas-serial	3.5.0-2.fc44	x86_64
flite	2.2-13.fc44	x86_64
fluid-soundfont-common	3.1-36.fc44	noarch
fluid-soundfont-gm	3.1-36.fc44	noarch
fluid-soundfont-lite-patches	3.1-36.fc44	noarch
fluidsynth-libs	2.5.4-1.fc44	x86_64
fmt	11.2.0-4.fc44	x86_64
fontawesome-6-brands-fonts	6.7.2-4.fc44	noarch
fontawesome-6-free-fonts	6.7.2-4.fc44	noarch
fontconfig	2.17.0-4.fc44	i686
fontconfig	2.17.0-4.fc44	x86_64
fonts-filesystem	5.0.0-2.fc44	noarch
fonts-srpm-macros	5.0.0-2.fc44	noarch
forge-srpm-macros	0.4.0-4.fc44	noarch
fpaste	0.5.0.0-4.fc44	noarch
fpc-srpm-macros	1.3-16.fc44	noarch
fprintd	1.94.5-5.fc44	x86_64
fprintd-pam	1.94.5-5.fc44	x86_64
freeglut	3.8.0-2.fc44	x86_64
freeipmi	1.6.15-5.fc44	x86_64
freerdp	3.26.0-4.fc44	x86_64
freerdp-libs	3.26.0-4.fc44	x86_64
freetype	2.14.3-1.fc44	i686
freetype	2.14.3-1.fc44	x86_64
freexl	2.0.0-20.fc44	x86_64
fribidi	1.0.16-4.fc44	i686
fribidi	1.0.16-4.fc44	x86_64
fstrm	0.6.1-14.fc44	x86_64
fuse	2.9.9-25.fc44	x86_64
fuse-common	3.18.2-1.fc44	x86_64
fuse-encfs	1.9.5-28.fc44	x86_64
fuse-libs	2.9.9-25.fc44	x86_64
fuse-overlayfs	1.16-2.fc44	x86_64
fuse-sshfs	3.7.6-1.fc44	x86_64
fuse3	3.18.2-1.fc44	x86_64
fuse3-libs	3.18.2-1.fc44	x86_64
fwupd	2.1.3-1.fc44	x86_64
fwupd-efi	1.8-1.fc44	x86_64
fwupd-plugin-flashrom	2.1.3-1.fc44	x86_64
fwupd-plugin-modem-manager	2.1.3-1.fc44	x86_64
